Question,Option A,Option B,Option C,Option D,Answer,,,,,
What is the synonym of 'abundant'?,Scarce,Sparse,Plentiful,Limited,C,,,,,
What does 'ephemeral' mean?,Brief or short-lived,Permanent,Eternal,Continuous,A,,,,,
What is the antonym of 'vivid'?,Faint,Dull,Bright,Lively,B,,,,,
What does 'exemplify' mean?,To serve as an example of,To ignore,To complicate,To disagree,A,,,,,
What is the synonym of 'endeavor'?,Attempt,Neglect,Destroy,Avoid,A,,,,,
What does 'mitigate' mean?,To make less severe or painful,To worsen,To criticize,To strengthen,A,,,,,
What is the antonym of 'obsolete'?,Current,Modern,Outdated,Ancient,A,,,,,
What does 'ambivalent' mean?,Having mixed feelings or contradictory ideas,Being indifferent,Being determined,Being certain,A,,,,,
What is the synonym of 'alleviate'?,Relieve,Aggravate,Intensify,Worsen,A,,,,,
What does 'emulate' mean?,To imitate or match,To surpass or excel,To compete,To abandon,A,,,,,
What is the antonym of 'precise'?,Inexact,Accurate,Exact,Correct,A,,,,,
What does 'sustain' mean?,To maintain or support,To abandon or neglect,To weaken,To discourage,A,,,,,
What is the synonym of 'amicable'?,Friendly,Hostile,Aggressive,Quarrelsome,A,,,,,
What does 'concur' mean?,To agree,To contradict,To argue,To dispute,A,,,,,
What is the antonym of 'ephemeral'?,Permanent,Brief,Lasting,Short-lived,A,,,,,
What does 'proficient' mean?,Skilled or competent,Inexperienced,Incompetent,Amateur,A,,,,,
What is the synonym of 'sagacious'?,Wisdom,Ignorant,Stupid,Foolish,A,,,,,
What does 'empathy' mean?,Understanding and sharing the feelings of others,Sympathy,Antipathy,Apathy,A,,,,,
What is the antonym of 'elusive'?,Obvious,Clear,Evasive,Transparent,A,,,,,
What does 'resilient' mean?,Able to recover quickly from difficulties,Weak or fragile,Easily damaged,Inflexible,A,,,,,
What is the synonym of 'prolific'?,Productive,Lazy,Unproductive,Inactive,A,,,,,
What does 'integrity' mean?,Honesty and moral principles,Dishonesty,Deception,Corruption,A,,,,,
What is the antonym of 'inevitable'?,Avoidable,Unavoidable,Certain,Likely,A,,,,,
What does 'gratuitous' mean?,Unnecessary or uncalled for,Deserved or justified,Required,Essential,A,,,,,
What is the synonym of 'exemplary'?,Outstanding,Mediocre,Poor,Inferior,A,,,,,
